n,T,pr,Model,Activity,Scenario,Region,Label,Mask,Season,Year,
82,-0.08,3.12,bccr_bcm2_0,CMIP3,A1B,Africa: Sahara,SAH,land,JJA,2085,
83,-0.02,2.72,bccr_bcm2_0,CMIP3,A1B,Africa: Sahara,SAH,land,MAM,2085,
84,-0.05,3.07,bccr_bcm2_0,CMIP3,A1B,Africa: Sahara,SAH,land,SON,2085,
85,0.31,2.43,bccr_bcm2_0,CMIP3,A1B,South Asia,SAS,land,ANN,2085,
86,0.15,2.56,bccr_bcm2_0,CMIP3,A1B,South Asia,SAS,land,DJF,2085,
87,0.55,2.31,bccr_bcm2_0,CMIP3,A1B,South Asia,SAS,land,JJA,2085,
88,0.01,2.52,bccr_bcm2_0,CMIP3,A1B,South Asia,SAS,land,MAM,2085,
89,0.54,2.33,bccr_bcm2_0,CMIP3,A1B,South Asia,SAS,land,SON,2085,
90,0.09,2.32,bccr_bcm2_0,CMIP3,A1B,South Australia/New Zealand,SAU,land,ANN,2085,
91,0.05,2.41,bccr_bcm2_0,CMIP3,A1B,South Australia/New Zealand,SAU,land,DJF,2085,
92,0.14,2.23,bccr_bcm2_0,CMIP3,A1B,South Australia/New Zealand,SAU,land,JJA,2085,
93,0.13,2.44,bccr_bcm2_0,CMIP3,A1B,South Australia/New Zealand,SAU,land,MAM,2085,
94,0.03,2.2,bccr_bcm2_0,CMIP3,A1B,South Australia/New Zealand,SAU,land,SON,2085,
95,0.27,2.05,bccr_bcm2_0,CMIP3,A1B,Southeast Asia (sea),SEA,sea,ANN,2085,
96,0.12,2.0,bccr_bcm2_0,CMIP3,A1B,Southeast Asia (sea),SEA,sea,DJF,2085,
97,0.48,2.07,bccr_bcm2_0,CMIP3,A1B,Southeast Asia (sea),SEA,sea,JJA,2085,
98,0.21,2.07,bccr_bcm2_0,CMIP3,A1B,Southeast Asia (sea),SEA,sea,MAM,2085,
99,0.27,2.06,bccr_bcm2_0,CMIP3,A1B,Southeast Asia (sea),SEA,sea,SON,2085,
100,0.26,2.71,bccr_bcm2_0,CMIP3,A1B,Southeastern South America,SSA,land,ANN,2085,
101,0.29,2.74,bccr_bcm2_0,CMIP3,A1B,Southeastern South America,SSA,land,DJF,2085,
102,0.22,2.64,bccr_bcm2_0,CMIP3,A1B,Southeastern South America,SSA,land,JJA,2085,
103,0.31,2.52,bccr_bcm2_0,CMIP3,A1B,Southeastern South America,SSA,land,MAM,2085,
104,0.22,2.96,bccr_bcm2_0,CMIP3,A1B,Southeastern South America,SSA,land,SON,2085,
105,0.15,3.04,bccr_bcm2_0,CMIP3,A1B,Tibetan Plateau,TIB,land,ANN,2085,
106,0.14,3.61,bccr_bcm2_0,CMIP3,A1B,Tibetan Plateau,TIB,land,DJF,2085,
107,0.13,2.98,bccr_bcm2_0,CMIP3,A1B,Tibetan Plateau,TIB,land,JJA,2085,
108,0.19,2.74,bccr_bcm2_0,CMIP3,A1B,Tibetan Plateau,TIB,land,MAM,2085,
109,0.15,2.83,bccr_bcm2_0,CMIP3,A1B,Tibetan Plateau,TIB,land,SON,2085,
110,0.2,2.6,bccr_bcm2_0,CMIP3,A1B,West Africa,WAF,land,ANN,2085,
111,0.17,2.57,bccr_bcm2_0,CMIP3,A1B,West Africa,WAF,land,DJF,2085,
112,0.26,2.56,bccr_bcm2_0,CMIP3,A1B,West Africa,WAF,land,JJA,2085,
113,0.19,2.61,bccr_bcm2_0,CMIP3,A1B,West Africa,WAF,land,MAM,2085,
114,0.17,2.65,bccr_bcm2_0,CMIP3,A1B,West Africa,WAF,land,SON,2085,
115,-0.1,2.93,bccr_bcm2_0,CMIP3,A1B,West Asia,WAS,land,ANN,2085,
116,0.01,2.63,bccr_bcm2_0,CMIP3,A1B,West Asia,WAS,land,DJF,2085,
117,-0.2,3.23,bccr_bcm2_0,CMIP3,A1B,West Asia,WAS,land,JJA,2085,
118,-0.12,3.16,bccr_bcm2_0,CMIP3,A1B,West Asia,WAS,land,MAM,2085,
119,-0.08,2.72,bccr_bcm2_0,CMIP3,A1B,West Asia,WAS,land,SON,2085,
120,0.07,2.83,bccr_bcm2_0,CMIP3,A1B,West North America,WNA,land,ANN,2085,
121,0.14,2.84,bccr_bcm2_0,CMIP3,A1B,West North America,WNA,land,DJF,2085,
122,-0.01,3.02,bccr_bcm2_0,CMIP3,A1B,West North America,WNA,land,JJA,2085,
123,-0.01,2.47,bccr_bcm2_0,CMIP3,A1B,West North America,WNA,land,MAM,2085,
124,0.17,2.97,bccr_bcm2_0,CMIP3,A1B,West North America,WNA,land,SON,2085,
125,-0.06,2.29,bccr_bcm2_0,CMIP3,A1B,West Coast South America,WSA,land,ANN,2085,
126,-0.02,2.34,bccr_bcm2_0,CMIP3,A1B,West Coast South America,WSA,land,DJF,2085,
